9401008;Porto São Bento
9402006;Porto Campanhã
9403004;Contumil
9403038;Rio Tinto
9403046;Águas Santas
9403053;Palmilheira
9404002;Ermesinde
9404010;Travagem
9404036;Leandro
9404051;São Frutuoso
9404077;São Romão
9404101;Portela
9404630;Trofa
9405009;Lousado
9405033;Esmeriz
9405058;Barrimau
9405074;Famalicão
9405108;Mouquim
9405116;Louro
9406007;Nine
9406056;Carreira
9406080;Midões
9406122;Barcelos
9406155;Silva
9406197;Carapeços
9406213;Tamel
9406262;Durrães
9406304;Barroselas
9406312;Senhora das Neves
9406338;Alvarães
9406387;Darque
9406395;Areia - Darque
9407005;Valença
9408029;Cabêda
9408060;Suzão
9408086;Valongo
9408102;São Martinho do Campo
9408136;Terronhas
9408151;Trancoso
9408177;Recarei - Sobreira
9408201;Parada
9408227;Cête
9408243;Irivo
9408250;Oleiros
9408276;Paredes
9408318;Penafiel
9408334;Bustelo
9408359;Meinedo
9408383;Caíde
9408409;Oliveira
9408433;Vila Meã
9408441;Recesinhos
9408474;Livração
9409001;Marco de Canaveses
9409050;Juncal
9409100;Pala
9409134;Mosteirô
9409191;Aregos
9409225;Mirão
9409258;Ermida
9409282;Porto Rei
9409324;Barqueiros
9409357;Rede
9409399;Caldas de Moledo
9409423;Godim
9410009;Régua
9410058;Bagaúste
9410090;Covelinhas
9410165;Ferrão
9410249;Pinhão
9410363;São Mamede do Tua
9411007;Tua
9411064;Alegria
9411114;Ferradosa
9411148;Vargelas
9411197;Vesúvio
9411247;Freixo de Numão
9412005;Pocinho
9413037;Santo Isidoro
9413052;Valbom
9413078;Vila Caiz
9413086;Passinhos
9413102;Fregim-A
9413110;Fregim
9413136;Amarante
9414019;Corgo
9414043;Tanha
9414084;Alvações
9414126;Povoação
9414159;Carrazedo
9414183;Cruzeiro
9414266;Vila Real
9415057;Tralhariz
9415081;Castanheiro
9415149;Santa Luzia
9415164;São Lourenço
9415180;Tralhão
9415222;Brunheda
9415263;Codeçais
9415289;Abreiro
9415347;Ribeirinha
9415388;Vilarinho
9415420;Cachão
9415453;Frechas
9415495;Latadas
9416006;Mirandela
9416014;Tarana
9417087;Pragal
9417095;Penalva
9417137;Corroios
9417152;Foros de Amora
9417186;Fogueteiro
9417236;Coina
9418002;Viana do Castelo
9418044;Areosa
9418085;Carreço
9418119;Afife
9418150;Âncora Praia
9418200;Moledo do Minho
9418234;Senhora da Agonia
9418242;Caminha
9418275;Seixas
9418291;Esqueiro
9418325;Gondarém
9418341;Vila Nova da Cerveira
9418416;Carvalha
9418440;São Pedro da Torre
9421006;São Gemil
9421048;São Mamede de Infesta
9421055;Arroteia (A)
9421071;Leça do Balio
9421154;Leixões
9421170;Guifões
9424000;Guimarães
9428068;Santo Tirso
9428100;Caniços
9428134;Vila das Aves
9428159;Giesteira
9428191;Lordelo
9428209;Cuca
9428217;Pereirinhas
9428233;Vizela
9428266;Nespereira
9428290;Covas
9429033;Couto de Cambeses
9429066;Arentim
9429074;Ruílhe
9429090;Tadim
9429108;Aveleda
9429116;Mazagão
9429132;Ferreiros
9429157;Braga
9430007;Lisboa Santa Apolónia
9431005;Braço de Prata
9431039;Lisboa Oriente
9431047;Moscavide
9431062;Sacavém
9431070;Bobadela
9431112;Santa Iria
9431146;Póvoa
9431187;Alverca
9431237;Alhandra
9431278;Vila Franca de Xira
9431310;Castanheira do Ribatejo
9431336;Carregado
9431377;Vila Nova da Raínha
9431401;Espadanal da Azambuja
9432003;Setil
9432045;Santana Cartaxo
9432102;Vale de Santarém
9432185;Santarém
9432284;Vale de Figueira
9432383;Mato Miranda
9432466;Riachos - Torres Novas - Golegã
9433001;Azambuja
9433043;Virtudes
9433084;Reguengo - Vale da Pedra - Pontével
9434009;Entroncamento
9434090;Lamarosa
9434157;Paialvo
9434199;Fungalvaz
9434249;Chão de Maçãs-Fátima
9434264;Seiça-Ourém
9434330;Caxarias
9434439;Albergaria dos Doze
9434504;Litém
9434553;Vermoil
9434645;Pombal
9434702;Pelariga
9434744;Simões
9434801;Soure
9434868;Vila Nova de Anços
9435006;Alfarelos
9435030;Formoselha / Santo Varão
9435055;Pereira
9435097;Amial
9435105;Vila Pouca do Campo
9435139;Taveiro
9435147;Casais
9435162;Espadaneira
9435170;Bencanta
9436004;Coimbra B
9436046;Adémia
9436053;Vilela - Fornos
9436087;Souselas
9437002;Pampilhosa
9437051;Mealhada
9437093;Aguim
9437119;Curia
9437143;Mogofores
9437184;Paraimo
9437218;Oliveira do Bairro
9437275;Oiã
9437358;Quintans
9438000;Aveiro
9438075;Cacia
9438117;Canelas
9438125;Salreu
9438158;Estarreja
9438216;Avanca
9438240;Válega
9438299;Ovar
9438356;Carvalheira - Maceda
9438372;Cortegaça
9438406;Esmoriz
9438414;Paramos
9438422;Silvalde
9439008;Espinho
9439040;Granja
9439057;Aguda
9439073;Miramar
9439081;Francelos
9439115;Valadares
9439123;Madalena
9439149;Coimbrões
9439164;Gaia
9439172;General Torres
9440014;Soudos - Vila Nova
9440030;Carrascal-Delongo
9440063;Curvaceiras
9440105;Santa Cita
9440113;Carvalhos de Figueiredo
9440154;Tomar
9441020;Coimbra
9441038;Coimbra-Parque
9441053;São José
9441079;Carvalhosas
9441087;Quinta da Ponte
9441095;Conraria
9441103;Ceira
9441129;Vale de Açor
9441152;Trémoa
9441186;Moinhos
9441194;Lobases
9441228;Miranda do Corvo
9441251;Padrão
9441293;Meiral
9441301;Lousã-A
9441319;Lousã
9441350;Prilhão-Casais
9441376;Serpins
9442002;Aveiro - Vouga
9442028;Esgueira
9442051;Azurva
9442077;Eixo
9442093;São João de Loure
9442119;Eirol
9442127;Taipa - Requeixo
9442135;Travassô
9442150;Cabanões
9442168;Casal do Álvaro
9442176;Oronhe
9442218;Águeda
9442259;Mourisca do Vouga
9442267;Aguieira
9442291;Valongo-Vouga
9442309;Carvalhal da Portela
9442325;Macinhata
9443000;Sernada do Vouga
9444016;Espinho-Vouga
9444032;Silvalde-Vouga
9444040;Monte de Paramos
9444057;Lapa
9444073;Sampaio-Oleiros
9444107;Paços de Brandão
9444115;Rio Meão
